BRANCH_ID,BRANCH,ADDRESS,POSTAL_CODE,PHONE_NUMBER,FREE_WIFI,MONDAY_OPEN,MONDAY_CLOSE,TUESDAY_OPEN,TUESDAY_CLOSE,WEDNESDAY_OPEN,WEDNESDAY_CLOSE,THURSDAY_OPEN,THURSDAY_CLOSE,FRIDAY_OPEN,FRIDAY_CLOSE,SATURDAY_OPEN,SATURDAY_CLOSE,SUNDAY_OPEN,SUNDAY_CLOSE,LATITUDE,LONGITUDE,LOCATION
EPLLON,Londonderry Branch,110 Londonderry Mall,T5C 3C8, 780-496-1814,Yes,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,9:30,17:30,13:00,17:00,53.603432,-113.445778,"110 Londonderry Mall
(53.603432, -113.445778)"
EPLMEA,Meadows Branch,2704-17 Street,T6T 0X1,780-442-7472,Yes,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,18:00,13:00,17:00,53.467536,-113.36887,"2704-17 Street
(53.467536, -113.36887)"
EPLMLW,Mill Woods Branch,2610 Hewes Way,T6L 0A9, 780-496-1818,Yes,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,18:00,13:00,17:00,53.4554447,-113.4343797,"2610 Hewes Way
(53.4554447, -113.4343797)"
EPLMNA,Stanley A. Milner Library,7 Sir Winston Churchill Square,T5J 2V4, 780-496-7000,Yes,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,18:00,13:00,17:00,53.543202,-113.489606,"7 Sir Winston Churchill Square
(53.543202, -113.489606)"
EPLRIV,Riverbend Branch,460 Riverbend Square,T6R 2X2, 780-944-5311,Yes,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,18:00,13:00,17:00,53.4683942,-113.5837689,"460 Riverbend Square
(53.4683942, -113.5837689)"
EPLSPW,Sprucewood Branch,11555 95 Street,T5G 1L5, 780-496-7099,Yes,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,18:00,13:00,17:00,53.5666547,-113.4871741,"11555 95 Street
(53.5666547, -113.4871741)"
EPLSTR,Strathcona Branch,8331 104 Street,T6E 4E9, 780-496-1828,Yes,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,18:00,13:00,17:00,53.5194554,-113.4974797,"8331 104 Street
(53.5194554, -113.4974797)"
EPLWHP,eplGO - West Henday Promenade,818 Webber Greens Dr NW,T5T 4K5,780-496-8342,Yes,10:00,18:00,10:00,21:00,10:00,6:00,13:00,21:00,10:00,18:00,10:00,18:00,13:00,17:00,53.523494,-113.667342,"818 Webber Greens Dr NW
(53.523494, -113.667342)"
EPLWMC,Whitemud Crossing Branch,4211 106 Street,T6J 6L7, 780-496-1822,Yes,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,18:00,13:00,17:00,53.4794861,-113.5041223,"4211 106 Street
(53.4794861, -113.5041223)"
EPLWOO,Woodcroft Branch,13420 114 Avenue,T5M 2Y5 , 780-496-1830,Yes,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,18:00,13:00,17:00,53.5637555,-113.5538643,"13420 114 Avenue
(53.5637555, -113.5538643)"
